elan_filename,participant,vowel,sound_start,sound_end,word,keyword,utterance,Addressee,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,praat_filename,X16,fol.word,sound_start.elan,sound_end.elan,utterance.elan,word.elan,vowel.elan,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,lex.stress,,participant.elan,mismatch,meanF1,meanF2,meanFleeceF1,meanFleeceF2,meanTRAPF1,u_F1,u_F2,trapF2,S_F1,S_F2,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,VL,normVL,normVSL1,normVSL2,normVSL3,normVSL4,VSL1,VSL2,VSL3,VSL4,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type
F1_diapix_ind_fac2,F1,foot,36.323,36.42,GOOD,n,(( )) good,interviewer,529.98,515.16,509.47,493.96,499.04,2071.06,2150.95,2141.28,2570.44,2527.7,F1_diapix_corrected,NA,sp,36.323,36.42,(( )) good,GOOD,foot,NA,NA,NA,NA,NA,,F1,2428,509.52200000000000,2292.286,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.8477389180481470,0.8240333239399290,0.814931783421996,0.7901224875638000,0.798248291752042,1.0678728032365300,1.109065409076330,1.1040793970789400,1.3253613938520900,1.3033239426868300,0.09700000000000130,-30.940000000000000,-0.0494906262961049,456.6400000000000,0.2354511394502950,457.6869816807110,0.24059626173243700,0.04752668690216390,0.010377781816823700,0.2226684154901400,0.02348782551806370,81.25296609970610,11.21984848382510,429.44017709105900,43.040841069849200,564.9538327444390,0.304060709727191,F,child,n.a.,ok,ok,other,other
F1_diapix_ind_fac2,F1,face,40.123,40.216,PLAY,n,I just went to my aunty's house and play,interviewer,685.7,720.35,683.06,673.8,576.05,2727.65,2770.92,2904.19,2964.82,3223.83,F1_diapix_corrected,NA,sp,40.123,40.216,I just went to my aunty's house and play,PLAY,face,0,0,pl,l,1,,F1,2430,667.792,2918.282,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,1.0968236086373300,1.1522486312992600,1.0926007497678500,1.0777887523696000,0.9214310044560830,1.406421471009110,1.4287321989436200,1.4974484159954300,1.5287102471641200,1.6622600886782700,0.09300000000000350,-109.65000000000000,-0.1753926041812510,496.18000000000000,0.25583861766916500,508.15127167015900,0.3101869821452060,0.05974698082784490,0.09099334182838350,0.03459331373178390,0.2056290482909490,55.433883140187800,138.3887170256300,61.33306204650160,276.8415478211320,531.9972100334510,0.39096268467896200,F,child,n.a.,ok,ok,approx.glide,final.open
F1_diapix_ind_fac2,F1,goat,78.767,78.917,NO,n,no,interviewer,572.51,578.75,627.33,519.82,424.44,2136.73,2005.55,1761.72,1329.06,1076.35,F1_diapix_corrected,NA,sp,78.767,78.917,no,NO,goat,0,0,n,n,1,,F1,69,544.57,1661.882,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.9157685346083710,0.925749837390779,1.0034568388602300,0.8314873096716630,0.678920537334155,1.1017333417957900,1.0340947633245900,0.9083719809748920,0.6852853262916300,0.554983869015692,0.15000000000000600,-148.07,-0.23684799727421600,-1060.38,-0.5467494727800990,1070.6682349355500,0.5958455838538400,0.0683710735826129,0.1477991748255800,0.28167565472916900,0.2006367109721400,131.32832900787300,248.62237489815700,445.8173120236590,270.11051164292,1095.8785275726100,0.6984826141095020,F,child,not.rolling,ok,ok,nasal,final.open
F1_diapix_ind_fac2,F1,price,154.667,154.836,FINDING,n,we was finding ((a)) difference,interviewer,640.64,685.35,619.49,527.25,551.43,1631,1720.18,1741.09,2492.82,2798.69,F1_diapix_corrected,NA,((A)),154.667,154.836,we was finding ((a)) difference,FINDING,price,nd,d,f,f,1,,F1,2438,604.832,2076.7560000000000,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,1.0247470856605200,1.0962637599235800,0.9909162276720750,0.8433720980808440,0.8820496463626730,0.8409705861147340,0.8869532696645270,0.8977348116361140,1.2853392375711400,1.4430508704190300,0.16900000000001100,-89.21000000000000,-0.14269743929785100,1167.69,0.6020802843043,1171.092805972270,0.6187594265383850,0.08502377246445840,0.10589780072676800,0.41473661663911000,0.16238507282580500,99.75999448676820,69.09969392117450,757.3679492162320,306.8242645228700,1233.051902147040,0.7680432626561410,F,child,n.a.,ok,ok,labial,coda.nasal
F1_diapix_ind_fac2,F1,price,179.551,179.606,MY,n,that's my name,interviewer,648.87,594.58,612.67,603.95,556.78,2261.03,2439.28,2753.52,2884.99,3001.47,F1_diapix_corrected,NA,NAME,179.551,179.606,that's my name,MY,price,n,n,m,m,1,,F1,2440,603.3700000000000,2668.058,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,1.0379115282725800,0.9510709949301240,0.9800071755925850,0.9660589447812720,0.8906073338443850,1.165824478432250,1.2577331277118000,1.4197604710476000,1.4875485783170700,1.5476075935657800,0.05500000000000680,-92.09000000000000,-0.1473041944281930,740.4400000000000,0.38178311513353300,746.1447324078620,0.4092149468154890,0.1264455536726930,0.16459089446196100,0.06920824105511360,0.09643666784795060,186.3342872366760,314.7602670287340,131.75886801274500,125.66860904776500,758.5220313259200,0.4566813570377180,F,child,n.a.,ok,ok,nasal,final.open
F1_diapix_ind_fac2,F1,price,260.064,260.218,FIND,n,we find --,interviewer,647.51,769.25,878.64,814.84,708.11,1634.32,1739.69,1967.7,2131.21,2325.22,F1_diapix_corrected,NA,sp,260.064,260.218,we find ..,FIND,price,nd,n,f,f,1,,F1,0,763.6700000000000,1959.628,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,1.0357361161276900,1.2304674944498600,1.4054442110151800,1.3033917883360700,1.132669921995310,0.8426824330466170,0.8970129484720670,1.0145786770680300,1.0988871384632600,1.198921904503800,0.15399999999999600,60.60000000000000,0.09693380586761350,690.9000000000000,0.3562394714571860,693.5525719078550,0.3691919876488050,0.20216853021587100,0.21080453477162100,0.1323730094751400,0.19787094294933600,161.0076535447930,252.8927286420070,175.5162673372470,221.429837646149,810.8464871701960,0.743217017411969,F,child,n.a.,ok,ok,labial,coda.nasal
F1_diapix_ind_fac2,F1,face,272.72,272.798,PAPER,n,is a paper,interviewer,409.54,410.75,413.49,405.72,387.9,3554.58,3403.16,3523.55,3542.57,3421.89,F1_diapix_corrected,NA,sp,272.72,272.798,is a paper,PAPER,face,p,p,p,p,1,,F1,2447,405.48,3489.15,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.6550869778056500,0.6570224547874950,0.6614052704323340,0.648976628986932,0.6204723316179410,1.8328002611843700,1.754725603827230,1.8168006797698200,1.82660770646994,1.76438310172909,0.07799999999997450,-21.640000000000000,-0.03461464618770880,-132.69000000000000,-0.06841715945528140,134.4430202725300,0.076675168331277,0.07809864398683140,0.06222960811586490,0.015831895050034400,0.06844265047216450,151.4248344889310,120.42117629387300,20.545882799237400,121.98858471184900,414.38047829389100,0.2246027976248950,F,child,n.a.,ok,ok,labial,medial.open
F1_diapix_ind_fac2,F1,price,277.415,277.648,FIND,n,that we find,interviewer,874.18,865.03,769.42,630.76,499.85,1697.4,1724.65,1992.68,2746.67,3279.69,F1_diapix_corrected,NA,sp,277.415,277.648,that we find,FIND,price,nd,n,f,f,1,,F1,2449,727.8480000000000,2288.218,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,1.3983101388341600,1.3836740938888000,1.2307394209679700,1.0089433562550500,0.7995439416324510,0.8752075247523910,0.8892580756240190,1.027458778380810,1.416228497709230,1.6910624289237500,0.2330000000000040,-374.3300000000000,-0.5987661972017110,1582.29,0.8158549041713560,1625.9657416440200,1.0119981144112100,0.020288710935856600,0.20612726268952000,0.4475884147169540,0.3455167211454620,28.745173507912600,284.57222808981200,766.6338863499320,548.8604089383750,1628.811696886030,1.019521109487790,F,child,n.a.,ok,ok,labial,coda.nasal
F1_diapix_ind_fac2,F1,goat,288.93,289,NO,n,no the different the difference,child,591.64,674.63,640.21,585.3,595.37,2384.4,2422.53,2481.5,2596.98,2641.09,F1_diapix_corrected,NA,THE,288.93,289,"no the different, the difference",NO,goat,ð,d,n,n,1,,F1,0,617.43,2505.3,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.9463682657345670,1.079116393605080,1.0240592715264800,0.9362270061768000,0.9523346534554610,1.2294360916811600,1.2490965505705200,1.279502458273280,1.339045856976240,1.3617897028091700,0.06999999999999320,3.730000000000020,0.005966387720894420,256.69000000000000,0.13235361112801400,256.7170991578080,0.13248802270794800,0.13419612176537400,0.06289519786761300,0.10611278511827200,0.02787003451964490,91.33037282306480,68.28028485587900,127.870006256354,45.24485606121440,332.72551999651200,0.33107413927090400,F,child,not.rolling,ok,ok,nasal,final.open
F1_diapix_ind_fac2,F1,goat,430.757,430.83,OVER,n,when I was over there,interviewer,602.46,602.23,598.57,582.87,527.46,1835.63,1798.06,1806.03,1779.47,1758.85,F1_diapix_corrected,NA,THERE,430.757,430.83,when I was over there,OVER,goat,v,v,z,z,1,,F1,2464,582.7180000000000,1795.6080000000000,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.9636755888284210,0.9633076882450950,0.9574532702669520,0.9323400565355740,0.8437080073090980,0.9464811998711150,0.9271094862473680,0.9312189501169790,0.9175241746619160,0.9068921614885960,0.07299999999997910,-75,-0.11996758151932300,-76.7800000000002,-0.03958903838251960,107.33204740430500,0.12633096443725900,0.01937520682624230,0.007152754934879030,0.02860455171266420,0.08926746246086610,37.57070401256830,8.770205242752320,30.853259147130600,59.12235194915710,136.3165203516080,0.1443999759346520,F,child,not.rolling,ok,ok,coronal,medial.open
