participant,vowel,sound_start,sound_end,task,word,utterance,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type,outcode,CofP
Ali,face,48.153,48.355,reading,RAISING,raising his first . in the air,450.3,455.5,447.38,441.88,371.65,1917.91,2003.24,2066.63,2065.89,2087.22,z,z,r,ɹ,0.927613337196958,0.938325283351576,0.921598167433212,0.910268224385059,0.765595151608371,1.53237807954135,1.60055532535959,1.65120287736261,1.65061162971342,1.66765394370971,0.201999999999998,-78.65,-0.162018185588587,169.31,0.135275864168363,228.343504889152,0.279370665934311,M,adolescent,n.a.,ok,ok,approx.glide,medial.open,2,youthclub
Ali,face,66.017,66.178,reading,THEY,he ran down the village shouting wolf wolf as soon as they heard him,484.76,472.25,442.51,463.51,491.51,1956.15,1949.08,1989.09,1972.05,1906.46,h,h,dh,ð,0.998600580367749,0.972830109907314,0.911566017861484,0.954825800408977,1.0125055104723,1.56293120130496,1.55728238930526,1.58924971152708,1.57563503592948,1.52322972064507,0.161000000000001,6.75,0.0139049301045513,-49.6900000000001,-0.0397014806598899,162.582277774875,0.218767889409404,M,adolescent,n.a.,ok,ok,coronal,final.open,2,youthclub
Ali,face,73.423,73.544,reading,SAFETY,for his safety,432.01,438.48,437.89,428.78,436.65,2000.24,2039.11,2096.5,2091.4,2086.45,f,f,s,s,0.889936126587737,0.903264259591655,0.902048865701035,0.883282360034004,0.899494478541088,1.59815837543043,1.62921485667917,1.67506850882389,1.67099369394433,1.66703872656123,0.120999999999995,4.63999999999999,0.00955835195335086,86.2099999999998,0.0688803511307929,116.535513054838,0.11555673491176,M,adolescent,n.a.,ok,ok,coronal,closed,2,youthclub
Ali,face,76.519,76.753,reading,STAYED,and two of his cousins even stayed with him for a short while,454.11,434.74,393.11,385.2,372.06,1981.89,2016.26,2064.67,2071.38,2063.01,d,d,st,t,0.935461897744861,0.895559898318911,0.809802529392619,0.79350801129973,0.76643974736287,1.58349703169711,1.61095808805212,1.64963687007557,1.65499804808377,1.64831055778143,0.233999999999995,-82.05,-0.169022150381991,81.1200000000001,0.0648135260843283,129.252592008932,0.187550790066687,M,adolescent,n.a.,ok,ok,coronal,closed,2,youthclub
Ali,face,82.017,82.181,reading,DAYS,that a few days later he tried exactly the same trick again,390.98,400.8,392.45,391.23,365.03,2063.16,2097.14,2018.93,2049.91,1956.11,z,z,d,d,0.805414751448516,0.825643849763582,0.808442936226841,0.805929748859796,0.751958020157685,1.64843040527789,1.67557985814211,1.61309137348906,1.63784387642413,1.56289924197257,0.164000000000001,-25.95,-0.0534567312908308,-107.05,-0.0855311633053173,242.41934476274201,0.215905700331115,M,adolescent,n.a.,ok,ok,coronal,closed,2,youthclub
Ali,face,82.317,82.46,reading,LATER,that a few days later he tried exactly the same trick again,392.71,396.11,398.97,390.54,439.84,2072.89,2121.05,2147.81,2119.44,2055.42,t,ʔ,l,l,0.808978533534571,0.815982498327975,0.821874068713015,0.804508356004664,0.906065845509017,1.65620451288145,1.69468354907747,1.71606434244552,1.69339718594882,1.64224627446067,0.143000000000001,47.13,0.0970873119744452,-17.4699999999998,-0.0139582384207742,185.590781711269,0.203555240251121,M,adolescent,n.a.,ok,ok,approx.glide,medial.open,2,youthclub
Ali,face,83.949,84.146,reading,SAME,that a few days later he tried exactly the same trick again,516.15,573.16,562.19,487.02,366.48,2136.5,2185.91,2178.14,2297.18,2235.35,m,m,s,s,1.06326365532803,1.18070366499624,1.15810557858929,1.00325615696572,0.754945005143108,1.70702784121261,1.74650560654578,1.74029750622927,1.83540847941811,1.78600734137824,0.197000000000003,-149.67,-0.308318650184918,98.8499999999999,0.0789795001656291,365.144844351177,0.582236941101064,M,adolescent,n.a.,ok,ok,coronal,coda.nasal,2,youthclub
Ali,face,90.625,90.715,reading,ESCAPED,however not long after a wolf that had just escaped from the zoo was looking for a change,367.22,394.2,402.86,406.3,420.63,2103.3,2094.58,2070.06,2083.73,2033.11,pt,ʔ,sk,k,0.756469397480496,0.812047918105798,0.829887428432527,0.836973792811735,0.866493444426286,1.68050159532997,1.67353446086923,1.65394339011495,1.66486549195879,1.62442095682086,0.0900000000000034,53.41,0.110024046945791,-70.1900000000003,-0.0560806385091102,121.063951548309,0.145601095475152,M,adolescent,n.a.,ok,ok,velar,closed,2,youthclub
Ali,face,92.519,92.678,reading,CHANGE,however not long after a wolf that had just escaped from the zoo was looking for a change,441.9,500.15,498.97,682.52,566.17,1939.47,1983.73,2028.25,2085.21,2159.46,ndʒ,n,ch,tʃ,0.910309424177961,1.03030382100613,1.02787303322489,1.40598413258643,1.16630433737686,1.54960415969887,1.58496716098699,1.62053789793563,1.66604798725718,1.72537249800374,0.158999999999992,124.27,0.255994913198903,219.99,0.175768338304874,447.901122576186,0.788503072878002,M,adolescent,n.a.,ok,ok,coronal,coda.nasal,2,youthclub
Ali,face,103.67,103.764,reading,RACING,racing down the village,424.16,429.25,393.02,394.67,381.02,1854.81,1928.99,1920.59,2021.77,2096.72,s,s,r,ɹ,0.873765207873555,0.884250555167209,0.809617130324558,0.813016113239004,0.784897254583134,1.48196223269814,1.54123081461302,1.53451935481139,1.61536048608866,1.67524428515203,0.0939999999999941,-43.14,-0.0888679532904215,241.91,0.193282052453893,288.921749532889,0.282193000416415,M,adolescent,n.a.,ok,ok,approx.glide,medial.open,2,youthclub
