participant,vowel,sound_start,sound_end,task,word,utterance,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type,outcode,CofP
Ali,goat,70.17,70.337,reading,HOMES,all rushed from their homes full of concern for their,451.8,440.92,423.31,403.21,421.92,1277.94,1339.36,1348.72,1357.49,1375.82,mz,m,h,h,0.930703321664637,0.908290634325745,0.872014216675204,0.830608424808318,0.869150831068489,1.02105273082108,1.07012628570397,1.07760476948293,1.08461185310916,1.09925721717629,0.167000000000002,-29.88,-0.0615524905961473,97.8799999999999,0.0782044863552027,130.441732823174,0.174214305959723,M,adolescent,not.rolling,ok,ok,other,coda.nasal,2,youthclub
Ali,goat,80.23,80.365,reading,SO,this gave the boy so much pleasure,432.12,468.95,451.68,497.47,489.37,1342.82,1197.01,1205.77,1087.1,1032.95,m,m,s,s,0.8901627254487,0.966032144078422,0.930456122907222,1.02478304875721,1.00809713263175,1.07289076795559,0.956391011565603,0.963390105358733,0.868574755994492,0.82530980977326,0.134999999999991,57.25,0.117934407183047,-309.87,-0.247580958182332,351.704497900467,0.355399745169404,M,adolescent,not.rolling,ok,ok,coronal,final.open,2,youthclub
Ali,goat,96.135,96.266,reading,OVERCOMING,so overcoming its fear and being shot,410.49,406.54,409.62,396.72,393.36,1391.09,1592.57,1652.2,1548.9,1497.64,v,v,ow,ʔ,0.845605149424782,0.83746819032656294,0.843812958433529,0.817239092011498,0.810317526803899,1.11145769231568,1.27243684955767,1.32008022431616,1.23754524842229,1.19658936396614,0.131,-17.13,-0.0352876226208836,106.55,0.0851316716504584,416.700563274259,0.337492818023637,M,adolescent,not.rolling,ok,ok,vowel,medial.open,2,youthclub
Ali,goat,115.616,115.827,reading,GO,they told him go away and don't bother us again and so the wolf had a feast,505.82,511.96,505.95,468.6,423.25,1204.28,1130.01,1058.6,982.25,938.26,ə,ə,g,g,1.04198396229395,1.05463229871498,1.04225176094782,0.965311147702631,0.871890617296497,0.962199620227253,0.902859129814494,0.845803731667528,0.784801355970555,0.749654080176058,0.210999999999999,-82.57,-0.170093344997452,-266.02,-0.212545540051196,294.362214975464,0.317059494262161,M,adolescent,not.rolling,ok,ok,velar,final.open,2,youthclub
Ali,goat,116.303,116.418,reading,DON'T,they told him go away and don't bother us again and so the wolf had a feast,450.9,520.58,450.99,435.9,350.55,1528.64,1517.43,1374.42,1249.44,1127.26,nt,n,d,d,0.92884933098403,1.0723894094558999,0.92903473005209,0.897949486307249,0.722129370096366,1.2213578465674,1.21240124366546,1.09813864054268,0.99828170649412,0.900661925712769,0.115000000000009,-100.35,-0.206719960887663,-401.38,-0.320695920854631,504.545331789635,0.632826273416762,M,adolescent,not.rolling,ok,ok,coronal,coda.nasal,2,youthclub
Ali,goat,117.658,117.752,reading,SO,they told him go away and don't bother us again and so the wolf had a feast,440.36,401.19,446.3,415.92,427.65,1515.58,1532.53,1483.61,1524.85,1511.27,ð,ð,s,s,0.907137040124478,0.826447245725178,0.919373378616484,0.856790893197777,0.88095457173502,1.21092312454248,1.2244658916422,1.1853796281308,1.21832969982357,1.2074795064776,0.0939999999999941,-12.71,-0.0261824683894589,-4.30999999999995,-0.00344361806488469,178.390421743055,0.279844793322176,M,adolescent,not.rolling,ok,ok,coronal,final.open,2,youthclub
Ali,goat,152.928,153.01,interview,GROWN,they looked like grown ups to us cos we were like fourteen or (( )) thirteen as well back then,527.14,482.19,545.63,490.55,506.75,1317.52,1313.64,1427.89,1470.3,1461.23,n,n,gr,ɹ,1.08590294152788,0.993306406979794,1.12399215006613,1.01052792041299,1.04389975266391,1.05267649021973,1.04957643497802,1.14086027811331,1.17474516027845,1.16749838165931,0.0819999999999936,-20.39,-0.0420031888639707,143.71,0.114821891439581,263.880606089395,0.404623734007801,M,adolescent,not.rolling,ok,ok,approx.glide,coda.nasal,2,youthclub
Ali,goat,212.85,212.944,interview,DON'T,I'm not involved in it so I don't know,485.78,496.51,472.11,528.37,596.07,1516.1,1479.4,1428.35,1483.87,1418.24,nt,n,d,d,1.00070176980577,1.02280545869789,0.972541711356998,1.08843672879138,1.22789802776591,1.21133859586354,1.18201590839688,1.14122781043578,1.18558736379132,1.13315008917453,0.0939999999999941,110.29,0.227196257960143,-97.8599999999999,-0.0781885066890082,268.149912656486,0.374539672598194,M,adolescent,not.rolling,ok,ok,coronal,coda.nasal,2,youthclub
Ali,goat,267.595,267.77,interview,SO,so,554.48,540.33,493.3,447.07,479.54,1200.38,1161.52,1015.93,1055.41,1045.51,0,0,s,s,1.14222305842543,1.113074204947,1.01619289193706,0.920959570643225,0.98784743442023,0.959083585319353,0.928035093903709,0.811711113841859,0.84325497490952706,0.835345040143319,0.174999999999955,-74.94,-0.154375624005197,-154.87,-0.123738545176034,289.093133760891,0.361647035473023,M,adolescent,not.rolling,ok,ok,coronal,final.open,2,youthclub
Ali,goat,288.282,288.384,interview,AGO,started ages ago when I ((was like)) year eight,497.92,378.74,457.18,363.71,464.07,1945.61,1931.75,1962.15,1845.02,1990.93,w,w,g,g,1.02571004409751,0.780200478192263,0.941786065955375,0.749238833826129,0.955979394610243,1.55450991722054,1.54343600854784,1.56772510116327,1.474140186096,1.59071984081696,0.102000000000032,-33.85,-0.0697306494872686,45.3200000000002,0.0362099235964222,531.054399770305,0.860590180415237,M,adolescent,not.rolling,ok,ok,velar,final.open,2,youthclub
