participant,vowel,sound_start,sound_end,task,word,utterance,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type,outcode,CofP
Ali,price,106.859,106.977,reading,CRIED,cried out even louder than before unfortunately as all the villagers were convinced that he was trying to fool them,706.38,685.92,634.61,622.25,622.06,1504.21,1583.39,1559.6,1624.6,1710.12,d,d,kr,ɹ,1.45513548551896,1.41298809737983,1.30729002868879,1.28182855667512,1.28143715864255,1.20183868431099,1.26510218277446,1.24609436983627,1.29802828496794,1.36635733761503,0.118000000000009,-84.3200000000001,-0.17369832687641,205.91,0.164518653304043,290.022509302757,0.309580912694295,M,adolescent,n.a.,ok,ok,approx.glide,closed,2,youthclub
Ali,price,114.438,114.557,reading,TIME,a third time,736.36,720.32,700.36,685.58,689.06,1558.23,1521.05,1483.27,1454.53,1411.21,m,m,t,t,1.51689397507962,1.48385174117191,1.44273434785535,1.41228770090049,1.4194564648655,1.24499976270196,1.21529356324664,1.18510797380549,1.1621451934842,1.12753323650721,0.119,-47.3000000000001,-0.0974375102141154,-147.02,-0.117466526194748,158.998244903063,0.168922118959218,M,adolescent,n.a.,ok,ok,coronal,coda.nasal,2,youthclub
Ali,price,131.837,131.997,interview,WHY,why,760.52,788.42,788.59,686.28,625.39,1225.34,1308.14,1403.06,1522.22,1590.68,0,0,w,w,1.56666332490569,1.6241370360045,1.62448723424417,1.41372969365207,1.28829692416079,0.979026208729915,1.04518202677457,1.12102152253301,1.21622837371901,1.27092677110231,0.160000000000025,-135.13,-0.278366400744892,365.34,0.291900562372393,430.970644703135,0.531579385482727,M,adolescent,n.a.,ok,ok,approx.glide,final.open,2,youthclub
Ali,price,133.567,133.677,interview,WHY,why,761.82,762.13,794.18,790.01,758.98,1262.42,1257.48,1286.92,1448.64,1521.1,0,0,w,w,1.56934131144434,1.56997990823433,1.63600257636038,1.62741241954024,1.5634909408522,1.00865250985426,1.00470553230425,1.02822760094235,1.15743918178996,1.21533351241213,0.109999999999985,-2.84000000000003,-0.00585037059213711,258.68,0.206681002557865,289.067184829048,0.289824928276937,M,adolescent,n.a.,ok,ok,approx.glide,final.open,2,youthclub
Ali,price,153.972,154.036,interview,LIKE,they looked like grown ups to us cos we were like fourteen or (( )) thirteen as well back then,708.69,768.76,794.96,797.88,798.03,1435.48,1415.1,1400.25,1389.38,1327.02,k,ʔ,l,l,1.45989406159918,1.58363763958147,1.63760936828358,1.64362453804732,1.64393353649409,1.14692456143407,1.13064128158201,1.1187763794327,1.11009143085606,1.06026683166205,0.063999999999993007,89.3399999999999,0.184039474894906,-108.46,-0.0866577297720197,167.164396154581,0.240460983288137,M,adolescent,n.a.,ok,ok,approx.glide,closed,2,youthclub
Ali,price,324.432,324.507,interview,GUY,and there was a guy called Al,744.76,799.04,762.92,718.81,703.82,1698.76,1675.29,1685.33,1687.99,1692.14,k,k,g,g,1.53419788809862,1.64601412603566,1.57160730005397,1.48074115680779,1.44986191202746,1.35728088721663,1.33852874893755,1.34655054136712,1.34867583697097,1.3519916177063,0.0749999999999886,-40.9399999999999,-0.0843359760711602,-6.61999999999989,-0.00528926951033348,156.370189007349,0.310163490643019,M,adolescent,n.a.,ok,ok,velar,final.open,2,youthclub
Ali,price,462.56,462.642,interview,HIDE,they chase them but they can't hide for long,871.19,764.53,695.42,753.8,645.28,1657.04,1630.61,1715.19,1747.79,1729.31,d,d,h,h,1.79464237893098,1.57492388338261,1.43255799900846,1.55282019449049,1.32927011820221,1.3239473035352,1.30283017465935,1.3704081829953,1.39645503889211,1.38168982732852,0.0819999999999936,-225.91,-0.46537226072877,72.27,0.0577425237933236,396.057912984539,0.725409350553297,M,adolescent,n.a.,ok,ok,other,closed,2,youthclub
Ali,price,463.874,463.932,interview,HIDE,so they can't hide in the same place for a long time,848.32,791.93,759.5,728.53,690.69,1662.76,1638.87,1638.84,1654.28,1694.29,d,d,h,h,1.74753041574711,1.63136759965887,1.56456213546767,1.50076425615834,1.42281424798705,1.32851748806678,1.30942977679762,1.30940580729833,1.32174210960038,1.3537094318222,0.0579999999999927,-157.63,-0.324716167760063,31.53,0.0251919437554102,183.346919460797,0.33375601587491,M,adolescent,n.a.,ok,ok,other,closed,2,youthclub
Ali,price,599.155,599.28,interview,SLIDERS,and I -- I came out with my dad's sliders,799.3,817.66,859.41,816.11,694.47,1563.29,1539.17,1605.08,1580.27,1679.35,d,d,sl,l,1.64654972334339,1.68437113322777,1.77037570091148,1.68117814927784,1.4306010088456,1.24904261824913,1.22977114081873,1.28243213076225,1.26260935484814,1.34177262117501,0.125,-104.83,-0.215948714497795,116.06,0.0927300029258769,315.123130497594,0.497452659182828,M,adolescent,n.a.,ok,ok,approx.glide,medial.open,2,youthclub
Ali,price,601.573,601.653,interview,MY,so it was my dad's sliders I came out with,707.92,926.95,812.31,778.8,722.04,1353.57,1535.12,1444.57,1445.83,1486.71,d,d,m,m,1.45830786957244,1.9095074015428,1.67335018862639,1.60431993561846,1.48739492336152,1.08147983853506,1.22653525841437,1.1541873197194,1.15519403868965,1.18785647639092,0.0800000000000409,14.12,0.0290870537890762,133.14,0.106376637855861,534.060472709645,0.911372894721884,M,adolescent,n.a.,ok,ok,nasal,final.open,2,youthclub
